,ms_subclass,ms_zoning,street,alley,land_contour,utilities,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,exter_qual,foundation,bsmt_cond,heating_qc,central_air,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,functional,fireplaces,garage_type,garage_cars,garage_qual,paved_drive,enclosed_porch,pool_area,mo_sold,yr_sold,saleprice
1,60,0,0,0,0,0,2,11,1,0,1,6,1,0,2,3,0,0,0,2,1,3,1,9,0,0,1,2,1,1,0,0,3,2010,130500
2,60,0,0,0,0,0,2,10,0,0,1,7,1,1,2,3,0,1,0,2,1,4,1,11,0,1,1,2,1,1,0,0,4,2009,220000
3,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,0,1,0,1,0,3,1,6,0,0,2,1,1,1,0,0,1,2010,109000
4,60,0,0,0,0,0,1,23,0,0,1,5,0,1,2,2,0,0,0,2,1,3,1,10,0,0,3,2,1,1,0,0,4,2010,174000
5,50,0,0,0,0,0,1,10,0,0,3,6,0,1,1,1,0,0,0,2,0,3,1,8,0,0,2,2,1,0,0,0,3,2010,138500
6,20,0,0,0,0,0,0,0,5,0,0,6,1,0,2,3,0,0,0,2,1,2,1,9,1,1,1,2,1,1,0,0,6,2010,190000
7,180,3,0,0,0,0,1,18,0,1,4,6,0,1,2,2,0,1,0,2,0,2,1,7,0,0,5,2,1,1,0,0,6,2006,140000
8,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,1,0,1,0,3,1,7,0,0,1,2,1,1,0,0,5,2010,142000
9,20,0,0,0,0,0,1,14,4,0,0,5,0,0,2,1,0,0,0,1,0,2,1,7,0,0,2,1,1,1,0,0,6,2007,112500
10,60,0,0,0,1,0,1,0,0,0,1,5,0,1,2,1,0,0,1,1,2,5,1,12,0,2,1,2,1,1,0,0,9,2007,135000
11,160,3,0,0,0,0,1,5,0,2,1,6,0,0,2,1,0,0,0,1,1,2,1,6,0,0,2,1,1,1,0,0,7,2008,85400
12,20,0,0,0,0,0,1,19,0,0,0,7,1,1,2,3,0,0,0,2,0,2,1,8,0,0,1,2,1,1,0,0,2,2006,183600
13,70,0,0,0,2,0,3,10,3,0,1,5,1,1,0,3,0,0,0,1,0,4,1,8,1,1,1,2,1,1,0,0,6,2009,131000
14,160,1,0,1,0,0,1,4,0,2,1,8,1,1,2,3,0,1,0,2,1,3,1,10,0,0,2,2,1,1,0,0,12,2008,200000
15,20,0,0,0,0,0,1,19,0,0,0,7,1,1,2,3,0,0,0,2,0,3,1,8,0,0,1,2,1,1,0,0,6,2008,193000
16,20,0,0,0,0,0,1,22,0,0,0,5,0,1,2,3,0,0,0,2,0,3,1,9,0,0,1,2,1,1,0,0,3,2010,173500
17,70,3,0,1,0,0,1,14,0,0,1,5,0,3,2,0,1,0,0,1,0,4,1,8,0,0,2,3,2,1,96,0,5,2008,98000
18,20,0,0,0,0,0,0,11,3,0,0,5,0,1,2,1,0,1,0,1,0,3,1,6,0,0,2,2,1,1,0,0,6,2009,139000
19,20,0,0,0,0,0,1,11,0,0,0,6,0,0,2,3,0,0,0,1,1,3,1,9,0,1,1,2,1,1,0,0,4,2007,143500
20,60,1,0,0,0,0,1,4,0,0,1,7,0,1,2,3,0,0,0,2,1,3,1,10,0,0,1,2,1,1,0,0,6,2010,215200
21,20,0,0,0,0,0,1,11,0,0,0,5,0,0,2,2,0,0,0,1,0,3,1,6,0,1,1,2,1,1,0,0,5,2007,129000
22,120,0,0,0,0,0,1,2,0,1,0,8,1,1,2,3,0,1,0,2,0,2,1,7,0,1,1,2,1,1,0,0,10,2009,278000
23,60,0,0,0,0,0,0,7,0,0,1,8,1,1,2,3,0,0,0,2,1,3,1,11,0,1,1,2,1,1,0,0,7,2006,344133
24,20,0,0,0,0,0,1,1,0,0,0,6,0,1,2,3,0,1,0,2,0,3,1,8,0,0,1,2,1,1,0,0,3,2010,185000
25,190,0,0,0,2,0,1,1,0,4,0,5,0,0,2,1,1,1,0,1,0,3,1,6,0,0,1,2,1,1,0,0,1,2006,145000
26,20,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3,0,1,0,2,0,3,1,8,0,1,1,2,1,1,0,0,4,2009,187500
27,20,0,0,0,0,0,1,11,1,0,0,5,0,0,2,3,0,1,0,1,0,3,1,6,0,1,2,1,1,1,0,0,4,2010,138500
28,50,0,0,1,1,0,1,20,0,0,3,5,0,0,2,3,0,0,0,2,0,4,1,9,2,1,2,1,1,1,0,0,7,2008,198000
29,190,4,0,0,0,0,1,15,3,4,1,5,0,0,2,0,1,0,0,2,0,4,2,11,0,0,0,0,0,0,133,0,6,2007,119600
30,50,0,0,0,0,0,0,0,4,0,3,5,0,0,2,3,0,0,0,1,0,3,1,7,0,1,2,2,1,1,0,0,7,2007,122900
31,20,0,0,0,0,0,1,3,6,0,0,8,1,1,2,1,0,1,0,2,1,4,1,12,0,1,1,2,1,1,0,0,7,2009,278000
32,70,0,0,0,1,0,0,20,0,0,1,8,0,1,2,0,0,0,0,1,0,3,1,8,0,2,2,2,1,1,0,0,6,2006,230000
33,120,0,0,0,0,0,2,24,0,1,0,8,1,1,1,3,0,1,0,1,1,2,1,8,0,1,1,2,1,1,0,0,4,2006,270000
34,20,0,0,0,0,0,1,0,0,0,0,6,0,0,2,1,0,0,0,1,0,2,1,6,0,0,2,2,1,0,0,0,4,2007,125000
35,20,0,0,0,0,0,1,19,0,0,0,8,1,1,2,3,0,1,0,2,0,3,1,9,0,1,1,3,1,1,0,0,9,2009,297000
36,20,0,0,0,1,0,1,0,0,0,0,6,0,0,2,0,0,0,0,1,0,2,1,6,0,1,5,1,1,1,64,0,4,2009,113500
37,160,3,0,0,0,0,1,10,0,1,1,5,0,1,2,3,0,0,0,2,0,4,1,8,0,1,1,1,1,1,0,0,7,2006,127000
38,20,0,0,0,0,0,1,3,0,0,0,6,0,0,2,3,0,0,0,2,0,3,1,9,0,1,1,2,1,1,0,0,1,2010,190000
39,20,0,0,0,0,0,1,3,0,0,0,7,0,0,2,0,0,0,0,1,1,3,1,8,0,1,1,2,1,1,0,0,9,2007,175500
40,20,0,0,0,0,0,1,19,0,0,0,5,0,1,1,3,0,1,0,1,0,3,1,6,0,0,2,1,1,1,0,0,7,2007,146000
41,20,0,0,0,0,0,1,18,0,0,0,5,1,0,2,2,0,1,0,1,1,3,1,8,0,0,1,1,1,1,0,0,6,2008,147500
42,20,0,0,0,0,0,1,7,0,0,0,10,2,1,1,3,0,1,0,2,1,2,1,10,0,1,1,3,1,1,0,0,9,2006,465000
43,85,0,0,0,0,0,0,22,0,0,4,5,0,1,2,3,0,1,0,1,0,1,1,5,0,1,1,2,1,1,0,0,7,2009,165500
44,50,3,0,1,0,0,1,14,0,0,3,5,0,3,2,3,1,0,0,2,0,4,1,9,0,0,1,1,2,1,0,0,11,2008,131500
45,20,0,0,0,0,0,1,11,0,0,0,5,0,0,2,3,0,1,0,1,0,3,1,6,0,0,2,1,1,1,0,0,2,2008,129500
